adm0_id,adm1_id,population
115,1498,124932958
115,1500,3479340
115,1501,4139153
115,1502,1346003
115,1503,1957458
115,1504,46288139
115,1505,30413587
115,1506,79905793
115,1507,657480
115,1508,80852387
115,1509,4309441
115,1510,230402764
115,1511,99760053
115,70074,808115
115,70075,29362645
115,70076,506291
115,70077,288242
115,70078,39043643
115,70080,1163575
115,70082,11922696
115,900618,52061287
115,900619,39249707
272,900448,4573205
272,900449,4567738
272,900450,13491400
272,900451,1766001
272,900452,3640564
272,900453,10038680
272,900454,1215884
272,900455,3778692
272,900456,50070526
272,900457,32012814
272,900458,38126972
272,900459,4979983
272,900460,4257362
272,900461,2647676
272,900462,4077145
272,900463,819011
272,900464,1558361
272,900465,2437400
272,900466,8310448
272,900467,1967013
272,900468,1511406
272,900469,4922294
272,900470,5399815
272,900471,6381113
272,900472,1395295
272,900473,7832007
272,900474,1620777
272,900475,8701079
272,900476,3153930
272,900477,2872261
272,900478,2645208
272,900479,5276509
272,900480,7725580
272,900481,13889286
117,900029,1469706
117,900030,2658923
117,900031,3201383
117,900032,4046228
117,900033,3445073
117,900034,2125627
117,900035,4827846
117,900036,4742158
117,900037,3309095
117,900038,6359211
117,900039,5583248
117,900040,2487181
117,900041,1567508
117,900042,1879020
117,900043,892792
117,900044,1783008
117,900045,587093
117,900046,657477
117,900047,1477175
117,900048,1144152
117,900049,658942
117,900050,1276800
117,900051,1884854
117,900052,12801439
117,900053,1293546
117,900054,1443056
117,900055,1367879
117,900056,1967082
117,900057,976579
117,900058,707257
117,900059,3160263
117,900060,4708
117,900061,13959
118,1564,1793157
118,1565,2931272
118,1566,858085
118,1567,1622763
118,1568,1432299
118,1569,2322716
118,1570,1552550
118,1571,2019202
118,1572,7141195
118,1573,2166279
118,1574,2342518
118,1575,1436062
118,1576,1273901
118,1577,1159526
118,1578,3651766
118,1579,1410824
118,1580,1977658
118,1581,1341825
66,1040,2546183
66,1050,1264498
66,1041,324837
66,900025,5153978
66,16838,383645
66,16840,1797220
66,1043,1387959
66,1044,1553454
66,40692,2706421
66,1045,2580343
66,1048,1870253
66,1051,1527208
66,16845,968776
66,1053,1004447
130,900749,242245
130,900750,216658
130,900751,699711
130,900752,384029
